country,country_code,year,co2_emissions_mt,co2_per_kwh
BTN,BTN,2009,0.18,39.69
BTN,BTN,2010,0.16,34.19
BTN,BTN,2011,0.19,39.51
BTN,BTN,2012,0.18,35.69
BTN,BTN,2013,0.18,34.23
BTN,BTN,2014,0.19,34.3
BTN,BTN,2015,0.18,32.07
BTN,BTN,2016,0.2,34.57
BTN,BTN,2017,0.18,29.3
BTN,BTN,2018,0.18,28.47
BTN,BTN,2019,0.2,31.08
BTN,BTN,2020,0.21,30.73
BTN,BTN,2021,0.21,29.46
BTN,BTN,2022,0.19,25.14
BTN,BTN,2023,0.21,26.99
BTN,BTN,2024,0.2,25.19
BWA,BWA,2000,1.27,769.46
BWA,BWA,2001,1.29,762.53
BWA,BWA,2002,1.32,761.43
BWA,BWA,2003,1.35,757.16
BWA,BWA,2004,1.38,752.15
BWA,BWA,2005,1.39,743.57
BWA,BWA,2006,1.43,742.41
BWA,BWA,2007,1.47,741.97
BWA,BWA,2008,1.48,733.1
BWA,BWA,2009,1.53,733.24
BWA,BWA,2010,1.55,730.04
BWA,BWA,2011,1.57,722.58
BWA,BWA,2012,1.6,718.91
BWA,BWA,2013,1.64,717.38
BWA,BWA,2014,1.68,716.68
BWA,BWA,2015,1.67,710.84
BWA,BWA,2016,1.73,703.32
BWA,BWA,2017,1.77,705.59
BWA,BWA,2018,1.82,698.29
BWA,BWA,2019,1.83,694.19
BWA,BWA,2020,1.88,692.9
BWA,BWA,2021,1.91,689.43
BWA,BWA,2022,1.97,685.62
BWA,BWA,2023,1.97,679.97
BWA,BWA,2024,2.02,678.42
CAF,CAF,2000,0.01,181.43
CAF,CAF,2001,0.01,171.77
CAF,CAF,2002,0.01,166.51
CAF,CAF,2003,0.01,160.79
CAF,CAF,2004,0.01,159.49
CAF,CAF,2005,0.01,156.27
CAF,CAF,2006,0.01,146.44
CAF,CAF,2007,0.01,145.12
CAF,CAF,2008,0.01,139.65
CAF,CAF,2009,0.01,132.39
CAF,CAF,2010,0.01,128.41
CAF,CAF,2011,0.01,126.38
CAF,CAF,2012,0.01,119.82
CAF,CAF,2013,0.01,116.8
CAF,CAF,2014,0.01,111.37
CAF,CAF,2015,0.01,107.27
CAF,CAF,2016,0.01,105.75
CAF,CAF,2017,0.01,96.55
CAF,CAF,2018,0.01,93.16
CAF,CAF,2019,0.01,86.98
CAF,CAF,2020,0.01,81.54
CAF,CAF,2021,0.01,77.47
CAF,CAF,2022,0.01,72.08
CAF,CAF,2023,0.01,72.63
CAF,CAF,2024,0.01,65.83
CAN,CAN,2000,50.86,173.8
CAN,CAN,2001,51.94,172.54
CAN,CAN,2002,54.94,173.35
CAN,CAN,2003,54.61,169.08
CAN,CAN,2004,56.64,169.69
CAN,CAN,2005,57.61,165.93
CAN,CAN,2006,59.92,166.29
CAN,CAN,2007,61.32,165.13
CAN,CAN,2008,61.65,160.47
CAN,CAN,2009,62.67,157.02
CAN,CAN,2010,63.03,153.74
CAN,CAN,2011,65.68,154.13
CAN,CAN,2012,66.51,151.82
CAN,CAN,2013,68.25,150.7
CAN,CAN,2014,67.13,143.8
CAN,CAN,2015,69.7,144.01
CAN,CAN,2016,69.93,140.0
CAN,CAN,2017,70.37,136.49
CAN,CAN,2018,72.72,136.03
CAN,CAN,2019,73.94,134.04
CAN,CAN,2020,74.74,130.67
CAN,CAN,2021,74.8,128.6
CAN,CAN,2022,80.1,132.01
CAN,CAN,2023,79.0,126.01
CAN,CAN,2024,83.8,128.46
CHE,CHE,2000,2.7,79.01
CHE,CHE,2001,2.68,76.09
CHE,CHE,2002,2.76,76.29
CHE,CHE,2003,2.84,75.88
CHE,CHE,2004,2.77,72.2
CHE,CHE,2005,2.82,71.24
CHE,CHE,2006,2.74,67.38
CHE,CHE,2007,3.11,74.59
CHE,CHE,2008,2.95,68.26
CHE,CHE,2009,2.78,62.96
CHE,CHE,2010,2.86,62.93
CHE,CHE,2011,2.68,57.59
CHE,CHE,2012,2.78,57.86
CHE,CHE,2013,2.7,54.03
CHE,CHE,2014,2.71,52.71
CHE,CHE,2015,2.65,50.79
CHE,CHE,2016,2.61,48.17
CHE,CHE,2017,2.36,42.1
CHE,CHE,2018,2.65,46.2
CHE,CHE,2019,2.31,39.08
CHE,CHE,2020,2.35,38.67
CHE,CHE,2021,2.52,40.47
CHE,CHE,2022,2.32,36.32
CHE,CHE,2023,2.43,36.64
CHE,CHE,2024,2.02,29.68
CHL,CHL,2000,16.09,483.81
CHL,CHL,2001,16.15,470.54
CHL,CHL,2002,16.62,464.51
CHL,CHL,2003,16.83,452.91
CHL,CHL,2004,17.17,442.57
CHL,CHL,2005,17.3,431.28
CHL,CHL,2006,17.6,423.15
CHL,CHL,2007,17.99,414.48
CHL,CHL,2008,18.38,405.75
CHL,CHL,2009,18.46,394.29
CHL,CHL,2010,18.87,384.63
CHL,CHL,2011,19.02,373.11
CHL,CHL,2012,19.38,366.0
CHL,CHL,2013,19.62,355.94
CHL,CHL,2014,19.86,347.03
CHL,CHL,2015,19.97,335.04
CHL,CHL,2016,20.16,322.81
CHL,CHL,2017,20.28,315.53
CHL,CHL,2018,20.66,305.81
CHL,CHL,2019,20.64,295.9
CHL,CHL,2020,20.71,287.51
CHL,CHL,2021,20.81,273.59
CHL,CHL,2022,20.54,262.84
CHL,CHL,2023,20.99,256.86
CHL,CHL,2024,20.86,244.99
CHN,CHN,2000,3910.22,617.02
CHN,CHN,2001,3972.14,610.52
CHN,CHN,2002,3992.81,603.33
CHN,CHN,2003,4038.18,602.58
CHN,CHN,2004,4133.09,598.52
CHN,CHN,2005,4183.99,593.15
CHN,CHN,2006,4217.05,589.53
CHN,CHN,2007,4223.66,579.21
CHN,CHN,2008,4282.96,577.62
CHN,CHN,2009,4333.88,575.08
CHN,CHN,2010,4389.82,570.85
CHN,CHN,2011,4434.28,565.99
CHN,CHN,2012,4489.86,561.7
CHN,CHN,2013,4491.04,554.01
CHN,CHN,2014,4573.16,550.06
CHN,CHN,2015,4677.39,548.21
CHN,CHN,2016,4676.97,539.82
CHN,CHN,2017,4697.15,535.46
CHN,CHN,2018,4768.56,531.31
CHN,CHN,2019,4820.53,523.54
CHN,CHN,2020,4899.75,526.67
CHN,CHN,2021,4944.65,518.76
CHN,CHN,2022,4992.35,516.55
CHN,CHN,2023,5008.71,508.35
CHN,CHN,2024,5147.19,512.05
CIV,CIV,2000,1.92,392.83
CIV,CIV,2001,1.97,389.52
CIV,CIV,2002,2.01,384.97
CIV,CIV,2003,2.09,381.52
CIV,CIV,2004,2.15,379.22
CIV,CIV,2005,2.2,374.92
CIV,CIV,2006,2.28,374.79
CIV,CIV,2007,2.32,367.04
CIV,CIV,2008,2.41,364.77
CIV,CIV,2009,2.5,364.33
CIV,CIV,2010,2.53,359.87
CIV,CIV,2011,2.61,353.95
CIV,CIV,2012,2.7,351.83
CIV,CIV,2013,2.75,349.08
CIV,CIV,2014,2.84,345.81
CIV,CIV,2015,2.93,342.71
CIV,CIV,2016,3.04,340.38
CIV,CIV,2017,3.11,335.3
CIV,CIV,2018,3.15,331.24
CIV,CIV,2019,3.27,328.06
CIV,CIV,2020,3.36,326.81
CIV,CIV,2021,3.5,324.82
CIV,CIV,2022,3.57,319.48
CIV,CIV,2023,3.65,316.98
CIV,CIV,2024,3.78,312.05
CMR,CMR,2000,0.51,167.74
CMR,CMR,2001,0.52,163.09
CMR,CMR,2002,0.55,166.16
CMR,CMR,2003,0.58,166.67
CMR,CMR,2004,0.58,159.49
CMR,CMR,2005,0.6,159.85
CMR,CMR,2006,0.63,157.38
CMR,CMR,2007,0.65,157.02
CMR,CMR,2008,0.68,154.74
CMR,CMR,2009,0.7,152.08
CMR,CMR,2010,0.71,149.39
CMR,CMR,2011,0.74,147.01
CMR,CMR,2012,0.78,147.83
CMR,CMR,2013,0.83,151.03
CMR,CMR,2014,0.84,144.98
CMR,CMR,2015,0.87,144.56
CMR,CMR,2016,0.89,143.01
CMR,CMR,2017,0.95,144.51
CMR,CMR,2018,0.96,139.24
CMR,CMR,2019,0.98,136.05
CMR,CMR,2020,1.06,141.76
CMR,CMR,2021,1.05,133.45
CMR,CMR,2022,1.09,131.04
CMR,CMR,2023,1.14,133.34
CMR,CMR,2024,1.18,132.21
COD,COD,2000,0.34,65.9
COD,COD,2001,0.36,66.48
COD,COD,2002,0.36,64.31
COD,COD,2003,0.38,65.23
COD,COD,2004,0.38,62.83
COD,COD,2005,0.38,60.89
COD,COD,2006,0.38,58.79
COD,COD,2007,0.4,60.43
COD,COD,2008,0.41,59.41
COD,COD,2009,0.41,57.58
COD,COD,2010,0.43,58.42
COD,COD,2011,0.41,53.43
COD,COD,2012,0.42,52.35
COD,COD,2013,0.42,51.65
COD,COD,2014,0.42,49.33
COD,COD,2015,0.44,49.95
COD,COD,2016,0.44,48.21
COD,COD,2017,0.46,49.0
COD,COD,2018,0.47,48.75
COD,COD,2019,0.48,47.42
COD,COD,2020,0.46,44.52
COD,COD,2021,0.46,42.86
COD,COD,2022,0.53,46.95
COD,COD,2023,0.5,43.6
COD,COD,2024,0.5,41.71
COG,COG,2000,0.31,331.61
COG,COG,2001,0.32,330.91
COG,COG,2002,0.34,330.71
COG,COG,2003,0.35,325.83
COG,COG,2004,0.37,324.08
COG,COG,2005,0.38,320.36
COG,COG,2006,0.41,321.84
COG,COG,2007,0.42,319.75
COG,COG,2008,0.44,318.32
COG,COG,2009,0.45,314.43
COG,COG,2010,0.48,316.51
COG,COG,2011,0.5,314.43
COG,COG,2012,0.52,312.95
COG,COG,2013,0.55,312.78
COG,COG,2014,0.58,311.47
COG,COG,2015,0.6,308.39
COG,COG,2016,0.62,303.7
COG,COG,2017,0.65,305.47
COG,COG,2018,0.69,304.78
COG,COG,2019,0.71,301.95
COG,COG,2020,0.74,299.57
COG,COG,2021,0.77,297.81
COG,COG,2022,0.81,297.37
COG,COG,2023,0.83,292.87
COG,COG,2024,0.89,293.94
COK,COK,2000,0.01,601.42
COK,COK,2001,0.01,592.71
COK,COK,2002,0.01,585.03
COK,COK,2003,0.01,573.45
COK,COK,2004,0.01,563.31
COK,COK,2005,0.01,556.31
COK,COK,2006,0.01,545.67
COK,COK,2007,0.01,537.84
COK,COK,2008,0.01,528.54
COK,COK,2009,0.01,517.82
COK,COK,2010,0.01,510.2
COK,COK,2011,0.01,499.59
COK,COK,2012,0.01,493.0
COK,COK,2013,0.01,483.41
COK,COK,2014,0.01,475.09
COK,COK,2015,0.01,465.57
COK,COK,2016,0.01,456.55
COK,COK,2017,0.01,447.84
COK,COK,2018,0.01,435.92
COK,COK,2019,0.01,426.12
COK,COK,2020,0.01,417.58
COK,COK,2021,0.02,408.41
COK,COK,2022,0.02,399.17
COK,COK,2023,0.02,389.77
COK,COK,2024,0.02,378.14
COL,COL,2000,7.67,227.14
COL,COL,2001,7.79,223.67
COL,COL,2002,8.11,224.38
COL,COL,2003,8.34,221.1
COL,COL,2004,8.64,220.67
COL,COL,2005,8.9,219.03
COL,COL,2006,8.93,215.54
COL,COL,2007,9.12,210.07
COL,COL,2008,9.43,212.04
COL,COL,2009,9.63,207.85
COL,COL,2010,9.91,205.33
COL,COL,2011,10.26,203.78
COL,COL,2012,10.92,208.13
COL,COL,2013,10.73,199.19
COL,COL,2014,11.05,199.14
COL,COL,2015,11.41,197.03
COL,COL,2016,11.91,197.53
COL,COL,2017,12.04,193.28
COL,COL,2018,12.37,193.9
COL,COL,2019,12.78,192.71
COL,COL,2020,13.13,190.75
COL,COL,2021,13.33,186.56
COL,COL,2022,13.75,186.07
COL,COL,2023,14.29,184.41
COL,COL,2024,14.73,183.79
COM,COM,2000,0.02,594.91
COM,COM,2001,0.02,591.66
COM,COM,2002,0.02,586.31
COM,COM,2003,0.03,576.71
COM,COM,2004,0.03,572.17
COM,COM,2005,0.03,565.13
COM,COM,2006,0.03,558.5
COM,COM,2007,0.03,555.54
COM,COM,2008,0.03,544.9
COM,COM,2009,0.03,541.91
COM,COM,2010,0.03,534.78
COM,COM,2011,0.03,525.85
COM,COM,2012,0.03,521.47
COM,COM,2013,0.04,515.54
COM,COM,2014,0.04,512.1
COM,COM,2015,0.04,504.9
COM,COM,2016,0.03,496.53
COM,COM,2017,0.04,490.13
COM,COM,2018,0.04,481.88
COM,COM,2019,0.04,477.5
COM,COM,2020,0.04,475.43
COM,COM,2021,0.04,466.82
COM,COM,2022,0.04,459.22
COM,COM,2023,0.05,451.58
COM,COM,2024,0.04,448.78
CPV,CPV,2000,0.15,510.68
CPV,CPV,2001,0.15,501.93
CPV,CPV,2002,0.15,492.93
CPV,CPV,2003,0.16,486.8
CPV,CPV,2004,0.15,471.43
CPV,CPV,2005,0.15,463.01
CPV,CPV,2006,0.15,451.78
CPV,CPV,2007,0.15,441.53
CPV,CPV,2008,0.15,434.58
CPV,CPV,2009,0.15,423.58
CPV,CPV,2010,0.15,409.35
CPV,CPV,2011,0.15,403.52
CPV,CPV,2012,0.15,393.79
CPV,CPV,2013,0.15,386.79
CPV,CPV,2014,0.15,366.64
CPV,CPV,2015,0.15,360.73
CPV,CPV,2016,0.15,351.26
CPV,CPV,2017,0.15,346.57
CPV,CPV,2018,0.15,330.62
CPV,CPV,2019,0.14,320.44
CPV,CPV,2020,0.14,313.54
CPV,CPV,2021,0.14,301.24
CPV,CPV,2022,0.14,290.23
CPV,CPV,2023,0.14,281.32
CPV,CPV,2024,0.14,270.11
CRI,CRI,2000,0.86,171.93
CRI,CRI,2001,0.86,166.44
CRI,CRI,2002,0.86,159.85
CRI,CRI,2003,0.85,154.88
CRI,CRI,2004,0.85,147.89
CRI,CRI,2005,0.85,143.21
CRI,CRI,2006,0.85,137.59
CRI,CRI,2007,0.85,130.77
CRI,CRI,2008,0.84,126.32
CRI,CRI,2009,0.85,123.32
CRI,CRI,2010,0.83,116.6
CRI,CRI,2011,0.78,105.6
CRI,CRI,2012,0.82,105.68
CRI,CRI,2013,0.8,100.43
CRI,CRI,2014,0.74,89.33
CRI,CRI,2015,0.74,86.19
CRI,CRI,2016,0.75,84.34
CRI,CRI,2017,0.71,76.32
CRI,CRI,2018,0.69,72.15
CRI,CRI,2019,0.63,62.88
CRI,CRI,2020,0.6,58.24
CRI,CRI,2021,0.59,54.92
CRI,CRI,2022,0.51,46.11
CRI,CRI,2023,0.5,42.97
CRI,CRI,2024,0.45,37.23
CUB,CUB,2000,4.21,563.04
CUB,CUB,2001,4.36,558.49
CUB,CUB,2002,4.47,554.96
CUB,CUB,2003,4.68,558.13
CUB,CUB,2004,4.85,551.29
CUB,CUB,2005,5.02,547.65
CUB,CUB,2006,5.2,542.46
CUB,CUB,2007,5.37,543.93
CUB,CUB,2008,5.57,537.21
CUB,CUB,2009,5.81,536.3
CUB,CUB,2010,5.98,532.11
CUB,CUB,2011,6.17,528.55
CUB,CUB,2012,6.42,529.6
CUB,CUB,2013,6.66,524.09
CUB,CUB,2014,6.88,520.02
CUB,CUB,2015,7.13,516.18
CUB,CUB,2016,7.46,515.11
CUB,CUB,2017,7.76,516.39
CUB,CUB,2018,7.89,510.53
CUB,CUB,2019,8.28,506.28
CUB,CUB,2020,8.51,504.03
CUB,CUB,2021,8.8,498.88
CUB,CUB,2022,9.17,495.53
CUB,CUB,2023,9.5,491.58
CUB,CUB,2024,9.8,492.7
CUW,CUW,2000,0.18,561.36
CUW,CUW,2001,0.19,549.26
CUW,CUW,2002,0.19,545.62
CUW,CUW,2003,0.2,535.49
CUW,CUW,2004,0.21,529.44
CUW,CUW,2005,0.22,526.08
CUW,CUW,2006,0.22,513.07
CUW,CUW,2007,0.23,504.58
CUW,CUW,2008,0.23,498.22
CUW,CUW,2009,0.24,489.77
CUW,CUW,2010,0.25,483.71
CUW,CUW,2011,0.26,478.36
CUW,CUW,2012,0.27,465.69
CUW,CUW,2013,0.28,459.12
CUW,CUW,2014,0.28,452.59
CUW,CUW,2015,0.29,444.72
CUW,CUW,2016,0.3,436.7
CUW,CUW,2017,0.31,426.47
CUW,CUW,2018,0.32,422.5
CUW,CUW,2019,0.33,413.46
CUW,CUW,2020,0.34,404.27
CUW,CUW,2021,0.35,399.0
CUW,CUW,2022,0.36,391.1
CUW,CUW,2023,0.36,382.56
CUW,CUW,2024,0.38,375.81
CYM,CYM,2000,0.25,634.73
CYM,CYM,2001,0.24,626.33
CYM,CYM,2002,0.26,624.18
CYM,CYM,2003,0.25,620.96
CYM,CYM,2004,0.26,612.83
CYM,CYM,2005,0.27,608.81
CYM,CYM,2006,0.27,603.08
CYM,CYM,2007,0.28,601.03
CYM,CYM,2008,0.28,596.92
CYM,CYM,2009,0.28,587.46
CYM,CYM,2010,0.29,585.21
CYM,CYM,2011,0.29,580.84
CYM,CYM,2012,0.29,576.07
CYM,CYM,2013,0.3,571.19
CYM,CYM,2014,0.31,568.54
CYM,CYM,2015,0.31,559.17
CYM,CYM,2016,0.32,556.95
CYM,CYM,2017,0.32,547.73
CYM,CYM,2018,0.33,545.07
CYM,CYM,2019,0.34,542.17
CYM,CYM,2020,0.33,530.24
CYM,CYM,2021,0.34,531.28
CYM,CYM,2022,0.35,529.03
CYM,CYM,2023,0.36,522.35
CYM,CYM,2024,0.36,515.6
CYP,CYP,2000,0.91,523.43
CYP,CYP,2001,0.93,513.8
CYP,CYP,2002,0.97,511.48
CYP,CYP,2003,0.98,500.61
CYP,CYP,2004,1.02,493.04
CYP,CYP,2005,1.05,487.5
CYP,CYP,2006,1.09,482.17
CYP,CYP,2007,1.13,477.18
CYP,CYP,2008,1.16,471.11
CYP,CYP,2009,1.18,461.51
CYP,CYP,2010,1.23,457.01
CYP,CYP,2011,1.26,450.33
CYP,CYP,2012,1.3,448.7
CYP,CYP,2013,1.36,441.38
CYP,CYP,2014,1.39,432.81
CYP,CYP,2015,1.43,427.53
CYP,CYP,2016,1.47,421.08
CYP,CYP,2017,1.53,415.93
CYP,CYP,2018,1.6,413.44
CYP,CYP,2019,1.64,406.95
CYP,CYP,2020,1.67,398.1
CYP,CYP,2021,1.72,393.15
CYP,CYP,2022,1.75,386.02
CYP,CYP,2023,1.82,380.34
CYP,CYP,2024,1.89,376.27
CZE,CZE,2000,13.27,409.58
CZE,CZE,2001,13.82,409.29
CZE,CZE,2002,14.24,402.75
CZE,CZE,2003,14.7,400.87
CZE,CZE,2004,15.12,400.0
CZE,CZE,2005,15.69,393.48
CZE,CZE,2006,16.19,393.46
CZE,CZE,2007,16.84,395.91
CZE,CZE,2008,17.36,390.15
CZE,CZE,2009,18.02,389.0
CZE,CZE,2010,18.47,387.71
CZE,CZE,2011,19.09,385.84
CZE,CZE,2012,19.84,381.7
CZE,CZE,2013,20.74,380.34
CZE,CZE,2014,21.34,380.22
CZE,CZE,2015,21.82,374.4
CZE,CZE,2016,22.64,374.17
CZE,CZE,2017,23.82,374.03
CZE,CZE,2018,24.52,371.8
CZE,CZE,2019,25.19,369.85
CZE,CZE,2020,25.94,364.23
CZE,CZE,2021,26.97,365.71
CZE,CZE,2022,27.96,361.98
CZE,CZE,2023,28.64,357.54
CZE,CZE,2024,29.91,357.62
DEU,DEU,2000,132.41,584.39
DEU,DEU,2001,133.94,571.28
DEU,DEU,2002,135.01,556.64
DEU,DEU,2003,135.38,541.83
DEU,DEU,2004,136.61,532.93
DEU,DEU,2005,139.65,518.86
DEU,DEU,2006,139.77,506.25
DEU,DEU,2007,139.15,488.33
DEU,DEU,2008,140.57,476.32
DEU,DEU,2009,140.41,463.6
DEU,DEU,2010,141.99,454.18
DEU,DEU,2011,142.55,438.64
DEU,DEU,2012,141.2,424.16
DEU,DEU,2013,143.03,411.92
DEU,DEU,2014,141.54,400.09
DEU,DEU,2015,142.78,384.04
DEU,DEU,2016,141.02,372.22
DEU,DEU,2017,140.18,356.15
DEU,DEU,2018,138.9,344.14
DEU,DEU,2019,139.42,330.99
DEU,DEU,2020,135.76,314.18
DEU,DEU,2021,135.37,305.08
DEU,DEU,2022,134.78,292.94
DEU,DEU,2023,131.46,277.8
DEU,DEU,2024,129.77,266.45
DJI,DJI,2000,0.18,543.77
DJI,DJI,2001,0.18,526.85
DJI,DJI,2002,0.18,513.42
DJI,DJI,2003,0.19,503.58
DJI,DJI,2004,0.19,491.07
DJI,DJI,2005,0.18,481.67
DJI,DJI,2006,0.18,464.7
DJI,DJI,2007,0.18,452.92
DJI,DJI,2008,0.19,443.29
DJI,DJI,2009,0.18,431.01
DJI,DJI,2010,0.18,414.45
DJI,DJI,2011,0.18,401.82
DJI,DJI,2012,0.18,392.34
DJI,DJI,2013,0.17,379.15
DJI,DJI,2014,0.17,364.64
DJI,DJI,2015,0.17,351.63
DJI,DJI,2016,0.17,338.86
DJI,DJI,2017,0.17,328.57
DJI,DJI,2018,0.16,315.95
DJI,DJI,2019,0.16,305.24
DJI,DJI,2020,0.16,291.94
DJI,DJI,2021,0.16,278.61
DJI,DJI,2022,0.15,265.78
DJI,DJI,2023,0.15,255.54
DJI,DJI,2024,0.14,239.42
DMA,DMA,2000,0.02,419.95
DMA,DMA,2001,0.02,414.66
DMA,DMA,2002,0.02,411.42
DMA,DMA,2003,0.02,407.59
DMA,DMA,2004,0.02,399.78
DMA,DMA,2005,0.02,399.02
DMA,DMA,2006,0.02,395.21
DMA,DMA,2007,0.02,387.74
DMA,DMA,2008,0.02,382.77
DMA,DMA,2009,0.02,380.32
DMA,DMA,2010,0.02,374.62
DMA,DMA,2011,0.03,368.77
DMA,DMA,2012,0.03,367.54
DMA,DMA,2013,0.03,361.63
DMA,DMA,2014,0.02,355.78
DMA,DMA,2015,0.03,354.19
DMA,DMA,2016,0.03,349.44
DMA,DMA,2017,0.03,339.5
DMA,DMA,2018,0.03,341.12
DMA,DMA,2019,0.03,335.57
DMA,DMA,2020,0.03,322.87
DMA,DMA,2021,0.03,324.46
DMA,DMA,2022,0.03,320.14
DMA,DMA,2023,0.03,311.77
DMA,DMA,2024,0.03,309.72
DNK,DNK,2000,8.23,550.05
DNK,DNK,2001,8.21,529.05
DNK,DNK,2002,8.38,515.74
DNK,DNK,2003,8.37,494.42
DNK,DNK,2004,8.33,476.67
DNK,DNK,2005,8.29,455.83
DNK,DNK,2006,8.44,439.38
DNK,DNK,2007,8.28,419.81
DNK,DNK,2008,8.32,400.43
DNK,DNK,2009,8.21,381.13
DNK,DNK,2010,8.23,365.04
DNK,DNK,2011,8.18,347.64
DNK,DNK,2012,7.98,327.56
DNK,DNK,2013,7.9,308.85
DNK,DNK,2014,7.68,290.47
DNK,DNK,2015,7.41,270.79
DNK,DNK,2016,7.24,250.88
DNK,DNK,2017,7.01,233.22
DNK,DNK,2018,6.82,217.51
DNK,DNK,2019,6.44,198.93
DNK,DNK,2020,6.02,176.35
DNK,DNK,2021,5.63,159.22
DNK,DNK,2022,5.2,141.51
DNK,DNK,2023,4.73,122.42
DNK,DNK,2024,4.19,104.35
DOM,DOM,2000,4.17,455.95
DOM,DOM,2001,4.15,446.16
DOM,DOM,2002,4.29,438.91
DOM,DOM,2003,4.39,432.06
DOM,DOM,2004,4.53,427.86
DOM,DOM,2005,4.52,421.21
DOM,DOM,2006,4.63,411.44
DOM,DOM,2007,4.75,404.99
DOM,DOM,2008,4.89,398.75
DOM,DOM,2009,4.89,389.34
DOM,DOM,2010,4.97,382.33
DOM,DOM,2011,5.1,375.98
DOM,DOM,2012,5.26,369.74
DOM,DOM,2013,5.28,361.14
DOM,DOM,2014,5.35,352.79
DOM,DOM,2015,5.48,347.58
DOM,DOM,2016,5.61,340.95
DOM,DOM,2017,5.64,332.34
DOM,DOM,2018,5.75,325.33
DOM,DOM,2019,5.79,315.62
DOM,DOM,2020,5.91,311.92
DOM,DOM,2021,5.89,300.25
DOM,DOM,2022,6.05,293.64
DOM,DOM,2023,6.12,288.61
DOM,DOM,2024,6.16,281.7
DZA,DZA,2000,18.1,488.72
DZA,DZA,2001,18.71,491.63
DZA,DZA,2002,19.01,488.37
DZA,DZA,2003,19.65,488.76
DZA,DZA,2004,20.17,485.83
DZA,DZA,2005,20.66,481.48
DZA,DZA,2006,21.59,481.41
DZA,DZA,2007,22.1,480.62
DZA,DZA,2008,23.19,484.08
DZA,DZA,2009,23.68,479.94
DZA,DZA,2010,23.98,476.33
DZA,DZA,2011,24.85,475.86
DZA,DZA,2012,26.18,478.29
DZA,DZA,2013,27.08,479.63
DZA,DZA,2014,27.82,478.94
DZA,DZA,2015,27.88,471.7
DZA,DZA,2016,29.3,473.19
DZA,DZA,2017,30.6,473.94
DZA,DZA,2018,30.88,470.4
DZA,DZA,2019,32.01,469.12
DZA,DZA,2020,32.72,466.95
DZA,DZA,2021,33.86,468.53
DZA,DZA,2022,35.06,466.24
DZA,DZA,2023,36.26,464.68
DZA,DZA,2024,36.94,465.14
ECU,ECU,2000,1.93,167.55
ECU,ECU,2001,1.98,164.77
ECU,ECU,2002,2.12,169.68
ECU,ECU,2003,2.11,160.68
ECU,ECU,2004,2.21,162.86
ECU,ECU,2005,2.3,162.49
ECU,ECU,2006,2.4,160.56
ECU,ECU,2007,2.44,157.51
ECU,ECU,2008,2.55,157.02
ECU,ECU,2009,2.62,155.04
ECU,ECU,2010,2.72,154.92
ECU,ECU,2011,2.78,152.08
ECU,ECU,2012,2.8,146.49
ECU,ECU,2013,2.99,150.92
ECU,ECU,2014,3.04,145.91
ECU,ECU,2015,3.1,142.49
ECU,ECU,2016,3.17,138.45
ECU,ECU,2017,3.4,142.2
ECU,ECU,2018,3.44,138.61
ECU,ECU,2019,3.58,137.52
ECU,ECU,2020,3.74,137.0
ECU,ECU,2021,3.73,131.83
ECU,ECU,2022,3.98,135.8
ECU,ECU,2023,4.03,132.16
ECU,ECU,2024,4.2,131.41
EGY,EGY,2000,62.25,493.18
EGY,EGY,2001,62.94,488.64
EGY,EGY,2002,64.57,487.29
EGY,EGY,2003,64.89,483.93
EGY,EGY,2004,66.12,481.71
EGY,EGY,2005,66.95,482.32
EGY,EGY,2006,69.21,480.17
EGY,EGY,2007,69.73,479.31
EGY,EGY,2008,71.36,477.5
EGY,EGY,2009,71.46,475.75
EGY,EGY,2010,73.14,469.07
EGY,EGY,2011,74.23,469.44
EGY,EGY,2012,75.08,465.73
EGY,EGY,2013,77.88,467.45
EGY,EGY,2014,78.5,464.16
EGY,EGY,2015,79.67,460.84
EGY,EGY,2016,81.47,461.64
EGY,EGY,2017,81.64,455.89
EGY,EGY,2018,84.96,458.0
EGY,EGY,2019,85.74,453.67
EGY,EGY,2020,87.15,452.09
EGY,EGY,2021,89.34,451.83
EGY,EGY,2022,89.89,448.91
EGY,EGY,2023,91.08,445.02
EGY,EGY,2024,95.02,445.29
ERI,ERI,2000,0.16,647.94
ERI,ERI,2001,0.16,641.77
ERI,ERI,2002,0.16,634.17
ERI,ERI,2003,0.16,625.83
ERI,ERI,2004,0.16,618.22
ERI,ERI,2005,0.16,609.75
ERI,ERI,2006,0.17,607.64
ERI,ERI,2007,0.17,596.13
ERI,ERI,2008,0.17,594.05
ERI,ERI,2009,0.17,585.8
ERI,ERI,2010,0.17,579.48
ERI,ERI,2011,0.18,570.18
ERI,ERI,2012,0.18,566.92
ERI,ERI,2013,0.18,557.68
ERI,ERI,2014,0.17,546.14
ERI,ERI,2015,0.18,543.53
ERI,ERI,2016,0.18,537.48
ERI,ERI,2017,0.19,530.26
ERI,ERI,2018,0.18,521.8
ERI,ERI,2019,0.19,515.23
ERI,ERI,2020,0.18,508.67
ERI,ERI,2021,0.19,500.45
ERI,ERI,2022,0.19,496.66
ERI,ERI,2023,0.19,487.95
ERI,ERI,2024,0.19,481.1
ESP,ESP,2000,66.74,418.96
ESP,ESP,2001,65.92,403.49
ESP,ESP,2002,66.19,397.42
ESP,ESP,2003,65.63,385.67
ESP,ESP,2004,65.54,372.88
ESP,ESP,2005,65.76,362.48
